"datatime","T_mu"
"13.03.2024","2.36"
"14.03.2024","2.42"
"15.03.2024","3.14"
"16.03.2024","7.17"
"17.03.2024","6.06"
"18.03.2024","0.21"
"19.03.2024","0.65"
"20.03.2024","2.07"
"21.03.2024","2.12"
"22.03.2024","5.00"
"23.03.2024","10.46"
"24.03.2024","4.60"
"25.03.2024","3.16"
"26.03.2024","6.30"
"27.03.2024","9.55"
"28.03.2024","9.21"
"29.03.2024","10.29"
"30.03.2024","15.22"
"31.03.2024","16.77"
"01.04.2024","15.50"
